ID,Title,Category,Score,Grade,IndexProb,TitleScore,IntroScore,StructScore,OrigScore,MediaScore,LinkScore,BodyLen
pipeline-1781025997299-7-ثغر,"ثغرة أمنية خطيرة في معالجات Intel تؤثر على مليارات الأجهزة ح",أمن سيبراني,77,B,0.8,15,18,8,17,9,10,530
pipeline-1781025998129-8-غوغ,"غوغل تطلق Android 16 مع دعم الذكاء الاصطناعي على الجهاز وتحس",هواتف ذكية,77,B,0.8,15,18,8,17,9,10,575
pipeline-1781025999103-9-سام,"سامسونج تطلق Galaxy S26 Ultra بكاميرا 300 ميغابكسل وقلم S Pe",هواتف ذكية,75,B,0.8,15,16,8,17,9,10,524
pipeline-1781025999991-10-تسل,"تسلا تعلن عن شاحن Supercharger V5 بقدرة 500 كيلوواط لشحن الب",شركات,76,B,0.8,15,18,8,16,9,10,554
pipeline-1781026000897-11-ريف,"ريفيان تكشف عن شاحنة R2T الكهربائية بسعر 45 ألف دولار ومدى 6",سيارات كهربائية,74,C,0.55,15,16,8,16,9,10,561
test-ai-001,"OpenAI تعلن عن نموذج GPT-5 بقدرات تفكير متقدمة",الذكاء الاصطناعي,46,D,0.2,15,6,0,7,8,10,75
test-ai-002,"جوجل تدمج Gemini في جميع خدماتها مع تحديثات ضخمة",الذكاء الاصطناعي,44,D,0.2,15,6,0,7,8,8,79
test-ai-003,"أنثروبيك تطلق Claude 4 بقدرات برمجة متقدمة",الذكاء الاصطناعي,46,D,0.2,15,6,0,7,8,10,78
test-companies-001,"مايكروسوفت تستحوذ على شركة ذكاء اصطناعي ناشئة مقابل 3 مليارا",عام,42,D,0.2,13,6,0,9,8,6,83
test-companies-002,"إنفيديا تتجاوز تريليوني دولار قيمة سوقية مع طلب متزايد على ر",شركات,40,D,0.2,13,6,0,7,8,6,70
test-sec-001,"اختراق أمني ضخم يسرب بيانات 50 مليون مستخدم من منصة تواصل اج",أمن سيبراني,43,D,0.2,13,6,0,7,8,9,60
test-sec-002,"جوجل تطلق ميزة الحماية المتقدمة ضد هجمات التصيد الاحتيالي في",عام,42,D,0.2,13,6,0,7,8,8,78
test-mobile-001,"سامسونج تطلق هاتف Galaxy S26 بشريحة Exynos 2600 AI",هواتف ذكية,44,D,0.2,15,6,0,7,8,8,70
test-mobile-002,"آبل تطلق iOS 20 بتصميم جديد وذكاء اصطناعي متكامل",هواتف ذكية,42,D,0.2,15,6,0,7,8,6,61
test-ev-001,"تسلا تطلق سيارة Cybercab الكهربائية ذاتية القيادة بالكامل",شركات,46,D,0.2,15,6,0,7,8,10,74
art-test-e2e-002,"أنثروبيك تطلق Claude 4 بقدرات برمجة متقدمة تنافس المطورين ال",الذكاء الاصطناعي,77,B,0.8,15,18,8,17,9,10,634
art-test-p4-001-150145,"OpenAI تطلق نموذج GPT-5 بقدرات تفكير متقدمة تنافس القدرات ال",الذكاء الاصطناعي,74,C,0.55,15,16,8,16,9,10,761
art-test-p4-002-150145,"جوجل تعلن عن هاتف Pixel 11 بشريحة Tensor G6 المصممة خصيصاً ل",هواتف ذكية,76,B,0.8,15,18,8,16,9,10,690
art-1781024422728-vx9kym,"أبل تكشف عن سيري آي آي مع جوجل جيمييني في مؤتمر وورلد وايد د",عام,72,C,0.55,11,18,8,16,9,10,557
art-1781020822780-yrfmzk,"Apple تقول إن الذكاء الاصطناعي الخاص بها لا يزال خاصًا حتى ع",الذكاء الاصطناعي,72,C,0.55,11,18,8,16,9,10,630
art-1781017222726-57cb33,"أبل تكشف عن سيري الذكاء الاصطناعي مع جوجل جيمييني في مؤتمر W",عام,76,B,0.8,15,18,8,16,9,10,941
art-1781015423376-4onw13,"苹果公司宣布推出第三代基础模型，这是苹果机器学习研究的最新成果",عام,66,C,0.55,13,13,8,14,9,9,799
art-1781011822727-rkpsf9,"سيري الذكاء الاصطناعي من شركة Apple رائعة ولكن تأخرت عامين",الذكاء الاصطناعي,71,C,0.55,15,14,8,15,9,10,902
art-1781008223038-9i4kqi,"المساعد الصوتي سيري جاهز للانطلاق هذا الخريف",الذكاء الاصطناعي,73,C,0.55,15,14,8,17,9,10,877
art-test-e2e-001,"نفيديا تطلق شريحة Blackwell Ultra بقدرة 288 جيجابايت مخصصة ل",شركات,77,B,0.8,15,18,8,17,9,10,668
art-test-e2e-003,"آبل تخطط لإطلاق نظارة الواقع المختلط Vision Pro 2 بسعر أقل",شركات,75,B,0.8,15,16,8,17,9,10,679
art-test-p4-004-150145,"شركة ناشئة تطلق حاسوباً كمياً بقيمة 5 ملايين دولار مخصص للشر",الذكاء الاصطناعي,75,B,0.8,13,18,8,17,9,10,773
art-test-p4-005-150145,"مايكروسوفت تطلق منصة سحابية جديدة للشركات الصغيرة بأسعار تنا",شركات,74,C,0.55,13,18,8,16,9,10,768
art-1781006422684-717nju,"خدمات الذكاء الاصطناعي والروبوتات تقود مجموعة متنوعة من 29 و",الذكاء الاصطناعي,72,C,0.55,11,18,8,16,9,10,770
art-1781004622653-sffqwr,"أبل تشحن أخيراً تحديث مساعد الذكاء الاصطناعي",الذكاء الاصطناعي,73,C,0.55,15,16,8,15,9,10,680
art-1781004456325-rg9i7l,"داخل برنامج جوجل لتدريب المعلمين على الذكاء الاصطناعي",عام,74,C,0.55,13,16,10,16,9,10,1012
art-1780968624914-85m99d,"مدير تنفيذي شركة Apple تيم كوك يتوقع أن يكشف عن سيري جديدة ف",شركات,71,C,0.55,11,18,8,15,9,10,623
art-1780963222833-mwxbt1,"أبل تشترك مع جوجل وإنفيديا لإنشاء أكثر نموذج متقدم للذكاء ال",شركات,70,C,0.55,13,14,8,16,9,10,805
art-1780961422764-5yvvqi,"آبل تراهن على إصلاح سيري المتأخر لسد الفجوة في مجال الذكاء ا",الذكاء الاصطناعي,72,C,0.55,15,14,10,14,9,10,1060
art-test-20260609-011219,"اختبار: إصلاح روابط تيليجرام - 01:12",عام,45,D,0.2,15,6,0,7,8,9,85
art-1780956138191-6izwzm,"تطبيق صور أبل يحصل على ثلاثة أدوات تحرير جديدة مدعومة بالذكا",عام,69,C,0.55,13,16,8,13,9,10,490
art-1780956118357-s35vi8,"أبل تكشف عن مساعد صوتي محدث من سيري مع ميزات ذكاء اصطناعي جد",الذكاء الاصطناعي,66,C,0.55,11,14,8,14,9,10,320
art-1780956066796-kwe084,"Apple تتوقع الكشف عن ميزات الذكاء الاصطناعي الجديدة في مؤتمر",عام,66,C,0.55,11,16,8,13,8,10,294
art-1780956048458-e7ymkr,"أبل تطلق سيري الجديد المزود بقدرات الذكاء الاصطناعي في مؤتمر",الذكاء الاصطناعي,70,C,0.55,13,16,8,14,9,10,357
art-1780952422797-i7cdfh,"هي سيري: أبل تعلن عن تحديث ذكاء اصطناعي طال انتظاره",الذكاء الاصطناعي,71,C,0.55,17,14,8,14,9,9,720
art-1780867823267-zx9tj0,"مُراقب الامتحانات في المملكة المتحدة يُعبّر عن قلقه بشأن الن",عام,71,C,0.55,11,16,8,17,9,10,865
art-1780864223505-92g4oa,"أفضل 21 أداة ذكاء اصطناعي منخفضة الشفرة وبدون شفرة في 2026 -",الذكاء الاصطناعي,77,B,0.8,15,18,10,17,9,8,1164
art-1780860622715-l1ddgf,"شركة OpenAI تخطط لإعادة تصميم ChatGPT بالكامل مع التركيز على",الذكاء الاصطناعي,71,C,0.55,11,16,8,17,9,10,960
art-1780858823228-vy5749,"المراهنة الكبيرة القادمة لشركة OpenAI قبل الاكتتاب العام؟ - ",الذكاء الاصطناعي,76,B,0.8,17,16,8,16,9,10,742
art-1780855222688-iast74,"المراهنة الكبيرة القادمة لشركة OpenAI قبل الاكتتاب العام: Ch",الذكاء الاصطناعي,69,C,0.55,13,14,8,15,9,10,682
art-1780853422652-l41dkr,"أوبن آي آي تخطط لأكبر تحديث لتشات جي بي تي منذ إطلاقها",عام,77,B,0.8,15,18,8,17,9,10,712
art-1780850967924-xinfrr,"شركة OpenAI تخطط لإعادة تصميم تطبيق ChatGPT قبل الاكتتاب الع",الذكاء الاصطناعي,73,C,0.55,15,16,8,15,9,10,891
art-1780792223103-nw19p8,"تطبيق DaVinci Resolve 21 متاح الآن مع أدوات تحرير الصور والذ",الذكاء الاصطناعي,74,C,0.55,15,16,8,16,9,10,859
art-1780790422830-irypin,"مدير شركة جوجل في موناغان: 'تجربة' مع أدوات الذكاء الاصطناعي",الذكاء الاصطناعي,75,B,0.8,17,14,10,15,9,10,1005
art-1780788623851-29u9uz,"مؤتمر WWDC 2026 يفتح أبوابه يوم الإثنين: جيمييني يعزز إعادة ",هواتف ذكية,73,C,0.55,15,18,8,13,9,10,629
art-1780786823300-uwcisy,"جوجل تطلق واجهة سطر الأوامر الجديدة Colab CLI لمطوري التطبيق",الذكاء الاصطناعي,73,C,0.55,11,18,8,17,9,10,962
art-1780783224006-jo4pcd,"أوبن آي آي تطلق وضع الحجر الصحي لمواجهة هجمات حقن البرامج ال",عام,67,C,0.55,13,14,8,13,9,10,682
art-1780779623301-257qk5,"أهم خمسة قصص في مجال الذكاء الاصطناعي هذا الأسبوع",الذكاء الاصطناعي,67,C,0.55,15,16,8,11,9,8,670
art-1780772422720-3sr5i4,"قائمة فوربس 2026 لأفضل 50 شركة في مجال الذكاء الاصطناعي",الذكاء الاصطناعي,72,C,0.55,15,16,8,16,9,8,649
art-1780770622888-1cxwjv,"وضع الحظر الجديد في ChatGPT يقيد الأدوات التي يمكن أن تمكن م",عام,73,C,0.55,13,16,8,17,9,10,903
art-1780684222891-9w8m5d,"ملخص الأخبار المتداولة في الفيديو: إنهاء تحديث جوجل الأساسي ",شركات,75,B,0.8,13,18,8,17,9,10,659
art-1780682422915-f09aqq,"لماذا استخدم هذا المطور ChatGPT لبناء محرر PDF بدلاً من ذلك",عام,72,C,0.55,15,14,10,14,9,10,1020
art-1780680623835-mwsbxi,"أحدث الأخبار حول الذكاء الاصطناعي التي أعلننا عنها في مايو 2",الذكاء الاصطناعي,72,C,0.55,15,14,8,16,9,10,834
art-1780673423298-xhiu9w,"مدير المالية في OpenAI: عدم معرفة أدوات الذكاء الاصطناعي مثل",الذكاء الاصطناعي,72,C,0.55,13,16,8,16,9,10,755
art-1780668022916-el45t2,"ظاهرة كودينج الفايب ترفع قيمة شركة ستارت أب Supabase إلى 10.",عام,74,C,0.55,15,16,8,16,9,10,691
art-1780666223547-laq2xj,"أعلى صندوق ثروة سيادية في العالم يدعم الدعوة إلى الرقابة على",الذكاء الاصطناعي,73,C,0.55,11,18,8,17,9,10,609
art-1780664422957-dac7ju,"فيديو: إنهاء تحديث Google May Core، أدوات التحكم في تقارير أ",شركات,75,B,0.8,13,18,8,17,9,10,731
art-1780659023725-uobrwc,"أضخم صندوق ثروة سيادية في العالم يدعم الضغط من أجل الإشراف ع",الذكاء الاصطناعي,71,C,0.55,11,18,8,15,9,10,610
art-1780657222657-rmv9k6,"أضخم صندوق ثروة سيادية في العالم يدعم الدعوة إلى مراقبة جوجل",الذكاء الاصطناعي,70,C,0.55,11,16,8,16,9,10,727
art-1780655423469-wjvy4s,"كاغل تجعل إنشاء معايير الذكاء الاصطناعي بدون مجهود",الذكاء الاصطناعي,70,C,0.55,15,14,8,14,9,10,762
art-1780653622864-vo21ug,"هل يمكن لمساعدي البحث الذكاء الاصطناعي تسريع اكتشاف العلوم؟",الذكاء الاصطناعي,75,B,0.8,17,16,8,15,9,10,940
art-1780651822688-edwili,"دفع OpenAI في مجال الدفاع البيولوجي بالذكاء الاصطناعي",الذكاء الاصطناعي,72,C,0.55,15,16,8,14,9,10,665
art-1780650023246-yu9exu,"ماذا يمكن توقع حدوثه في مؤتمر WWDC 2026: تحديث Siri المتوقع ",شركات,73,C,0.55,15,18,8,13,9,10,768
art-1780648222672-iuukcf,"مدير تنفيذي شركة Airbnb، بريان تشيسكي، يخطط لبدء شركة ذكاء ا",الذكاء الاصطناعي,71,C,0.55,13,16,8,15,9,10,792
art-1780648079491-9ueo6o,"المخاطر الأمنية الخفية خلف أدوات الذكاء الاصطناعي الشهيرة",عام,75,B,0.8,13,18,8,17,9,10,844
art-1780645881759-ig1czr,"جامعة يوتا تطرح Gemini for Education لجميع المدارس من الروضة",عام,72,C,0.55,15,14,10,16,9,8,1020
art-1780376402810-kyj27h,"وادي السيليكون يضغط من أجل بناء روبوتات ذكاء اصطناعي مادية",عام,68,C,0.55,13,13,15,9,9,9,1128
art-1780376171395-vnplm0,"إкспانسيون أوبن آي آي في مجال الروبوتات، وتجنيد مهندسين لتطو",الذكاء الاصطناعي,73,C,0.55,11,14,13,16,9,10,1505
art-1780375466705-hj01ra,"إطلاق برنامج تعليمي لتعليم الذكاء الاصطناعي في أرمينيا",الذكاء الاصطناعي,75,B,0.8,13,14,15,14,9,10,1720
